Abbreviations,Mx4rwGPa8pwpEbGdrcN5Y29ycA,Abbreviation
Abortifacients,Mx4rvgSuQpwpEbGdrcN5Y29ycA,Abortifacient
Dividends,Mx4rMKGOCrvMEdmAAAACs6hRjg,Accumulation-Profits
Acrobats,Mx4rv5EdKZwpEbGdrcN5Y29ycA,Acrobat
Actinomycetales,Mx4rvtYh_ZwpEbGdrcN5Y29ycA,Actinomycetales-Order
Advertisements,Mx4rwP2CJJwpEbGdrcN5Y29ycA,Advertisement-PCW
Aerosols,Mx4rwQBj4pwpEbGdrcN5Y29ycA,AerosolStuff
Affricates,Mx4rwK4e95wpEbGdrcN5Y29ycA,Affricative-Consonant
Erithacus,Mx4rv7vR5ZwpEbGdrcN5Y29ycA,AfricanGreyParrot
Alkanes,Mx4rydvDMuzqQdaLvdv5ptfzVQ,Alkane
Almonds,Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rhb27_IY2QdeEBbPcSwE6yA,"[:FruitFn, :AlmondTree]"
Altars,Mx4rvViUsJwpEbGdrcN5Y29ycA,AltarStage
Alps,Mx4rOEO5eLllQdePBrf7ILo0VQ,Altay-ProvinceRussia
Bison,Mx4rvhr0dJwpEbGdrcN5Y29ycA,AmericanBison
Amphetamines,Mx4rwP1bk5wpEbGdrcN5Y29ycA,Amphetamine
Analgesics,Mx4rvVjr8pwpEbGdrcN5Y29ycA,Analgesic
Anchovies,Mx4rwHMX8JwpEbGdrcN5Y29ycA,Anchovy
Quechua,Mx4rvVj_7JwpEbGdrcN5Y29ycA,AndeanLanguageFamily
Androgens,Mx4rvVr9A5wpEbGdrcN5Y29ycA,Androgen
Anime,Mx4rwUcs75wpEbGdrcN5Y29ycA,Anime
Anorectics,Mx4rwP1X7ZwpEbGdrcN5Y29ycA,Anorectic
Antacids,Mx4rwP1Y15wpEbGdrcN5Y29ycA,Antacid
Anticoagulants,Mx4rvV3NUpwpEbGdrcN5Y29ycA,Anticoagulant
Anticonvulsants,Mx4rvVoFpJwpEbGdrcN5Y29ycA,Anticonvulsant
Antiemetics,Mx4rwP1Y95wpEbGdrcN5Y29ycA,AntiEmetic
Antihistamines,Mx4rwP1Z_ZwpEbGdrcN5Y29ycA,Antihistamine
Antipyretics,Mx4rwP1aN5wpEbGdrcN5Y29ycA,Antipyretic
Anxiolytics,Mx4rwP34cpwpEbGdrcN5Y29ycA,Anxiolytic
Apples,Mx4rvVjBnZwpEbGdrcN5Y29ycA,AppleTree
Aprons,Mx4rvVirR5wpEbGdrcN5Y29ycA,Apron
Arboreta,Mx4rJxqzdFwxEdqAAAACs71DGQ,Arboretum
Arborists,Mx4rGOFiIvpVEdqAAAACs71DGQ,Arborist
Arsenals,Mx4riBVf0ABuEduAAAACs71DGQ,Arsenal
Avalanches,Mx4rwTjbN5wpEbGdrcN5Y29ycA,Avalanche
Bacillales,Mx4rvdbbMZwpEbGdrcN5Y29ycA,Bacillales-Order
Bacteriophages,Mx4rv9XuR5wpEbGdrcN5Y29ycA,Bacteriophage
Robbers,Mx4rP9eqpiwaEdiUggAH6RYvSQ,BankRobber
Barbiturates,Mx4rwP1YXpwpEbGdrcN5Y29ycA,Barbiturate
Barcodes,Mx4rvq3c4pwpEbGdrcN5Y29ycA,Barcode
Barnacles,Mx4rvViIdJwpEbGdrcN5Y29ycA,Barnacle
Batanes,Mx4rwFYpApwpEbGdrcN5Y29ycA,Batanes-ProvincePhilippines
Euphydryas,Mx4rwDD315wpEbGdrcN5Y29ycA,BayCheckerspotButterfly
Curlers,Mx4rvVkLnZwpEbGdrcN5Y29ycA,BeautyDevice
Beekeepers,Mx4rgXCcwtnXQdicdbI1HTUQQw,Beekeeper
Belarus,Mx4rvVjw35wpEbGdrcN5Y29ycA,Belarus
Benzodiazepines,Mx4rv5X5spwpEbGdrcN5Y29ycA,Benzodiazepine
Billboards,Mx4rvViflJwpEbGdrcN5Y29ycA,Billboard
Bioethicists,Mx4r9K_WnCwKQdiEMdNMJDDpBQ,Bioethicist
Genera,Mx4rvVian5wpEbGdrcN5Y29ycA,BiologicalGenus
Phyla,Mx4rvViYE5wpEbGdrcN5Y29ycA,BiologicalPhylum
BIOS,Mx4rvurKzJwpEbGdrcN5Y29ycA,BIOSChip
Biscuits,Mx4rwQCF3pwpEbGdrcN5Y29ycA,Biscuit
Angus,Mx4roXxuPjgNEdqAAAACs6hRXg,BlackAngusCattle
Ferrets,Mx4rv0zJz5wpEbGdrcN5Y29ycA,BlackFootedFerret
Cyanobacteria,Mx4rvViFLpwpEbGdrcN5Y29ycA,BlueGreenAlgae
Jays,Mx4rvWTZBpwpEbGdrcN5Y29ycA,Bluejay
Boathouses,Mx4r8yCObPnPEdqAAAACs71DGQ,Boathouse
Bogs,Mx4r1WsAbqL5EdqAAAAOpmP6eA,Bog
Submunitions,Mx4rvvw-WJwpEbGdrcN5Y29ycA,BombSubmunition
Bonsai,Mx4rviw3BJwpEbGdrcN5Y29ycA,BonsaiTree
Brakes,Mx4rvlUWSJwpEbGdrcN5Y29ycA,Brandy-Liquor
Bricks,Mx4rvVj-spwpEbGdrcN5Y29ycA,Brick
Bronchodilators,Mx4rvViIqZwpEbGdrcN5Y29ycA,Bronchodilator
Pelecanus,Mx4rvrCAMJwpEbGdrcN5Y29ycA,BrownPelican
Terriers,Mx4rMWkHHn-2EdaAAAACs0uFOQ,BrusselsGriffon
Hornworts,Mx4rvVjol5wpEbGdrcN5Y29ycA,BryophytaDivision
Mosses,Mx4rvVjol5wpEbGdrcN5Y29ycA,BryophytaDivision
Bryophytes,Mx4rvVjo05wpEbGdrcN5Y29ycA,Bryophyte
Bubbles,Mx4rc0n4Oi9IQdiJuZpQwHgN5Q,Bubble
Buddhas,Mx4rvVjmnZwpEbGdrcN5Y29ycA,Buddhism
Buffers,Mx4rvVj6u5wpEbGdrcN5Y29ycA,Buffer
Shrubs,Mx4rvViaLZwpEbGdrcN5Y29ycA,Bush
Cacti,Mx4rvVib2JwpEbGdrcN5Y29ycA,Cactus
Candles,Mx4rvVikZ5wpEbGdrcN5Y29ycA,Candle
Canids,Mx4rvVjQRJwpEbGdrcN5Y29ycA,CanineAnimal
Cannon,Mx4rv53PcZwpEbGdrcN5Y29ycA,Cannon
Caps,Mx4rvgHnapwpEbGdrcN5Y29ycA,Cap
Capacitors,Mx4rvVi5dJwpEbGdrcN5Y29ycA,Capacitor
Capuchins,Mx4rleGrsQCZEdeApQADR6QijQ,Capuchin
Carbohydrates,Mx4rvbylZJwpEbGdrcN5Y29ycA,CarbohydrateStuff
Carbonates,Mx4r7_AtLPZRQdaesqN0KpMusQ,CarbonateIon
Cardinalis,Mx4rvVop-pwpEbGdrcN5Y29ycA,Cardinal-Bird
Cardiologists,Mx4rvViLqZwpEbGdrcN5Y29ycA,Cardiologist
Carnivores,Mx4rvVkE9ZwpEbGdrcN5Y29ycA,Carnivore
Carp,Mx4rvVi76pwpEbGdrcN5Y29ycA,Carp
Catanduanes,Mx4rwLkMhZwpEbGdrcN5Y29ycA,Catanduanes-ProvincePhilippines
Catecholamines,Mx4rvr93TJwpEbGdrcN5Y29ycA,Catecholamine
Cations,Mx4ro-BkkuqPQdaN4aO8svG_Jg,Cation
Roe,Mx4rv5woPpwpEbGdrcN5Y29ycA,Caviar
Ceilings,Mx4rvVj3Q5wpEbGdrcN5Y29ycA,CeilingOfARoom
Centrifuges,Mx4rvgELvJwpEbGdrcN5Y29ycA,Centrifuge
Chad,Mx4rvViCj5wpEbGdrcN5Y29ycA,Chad
Chains,Mx4rvVjNfZwpEbGdrcN5Y29ycA,Chain
Chalcogens,Mx4rSoV_1OxiQdaDqKbeb3ckaA,ChalcogenElementType
Nonmetals,Mx4rSoV_1OxiQdaDqKbeb3ckaA,ChalcogenElementType
Checkpoints,Mx4r6FVkrvfbEdmAAAACs6hO_g,Checkpoint
Cheesemakers,Mx4rvVjjmpwpEbGdrcN5Y29ycA,Cheesemaker
Chordates,Mx4rvVkGO5wpEbGdrcN5Y29ycA,ChordataPhylum
Cigars,Mx4rvVjIKpwpEbGdrcN5Y29ycA,Cigar
Cigarettes,Mx4rwPzxnJwpEbGdrcN5Y29ycA,Cigarette
Ciliates,Mx4rvVikGJwpEbGdrcN5Y29ycA,Ciliate
Clarinets,Mx4rwQrt5ZwpEbGdrcN5Y29ycA,Clarinet
Clostridiales,Mx4rvajBxJwpEbGdrcN5Y29ycA,Clostridiales-Order
Coal,Mx4rwPRtHpwpEbGdrcN5Y29ycA,Coal
Coats,Mx4rvVjhHpwpEbGdrcN5Y29ycA,Coat
Cockroaches,Mx4rvViJOpwpEbGdrcN5Y29ycA,Cockroach
Coffins,Mx4rwPzb-ZwpEbGdrcN5Y29ycA,Coffin
Cola,Mx4rvViROpwpEbGdrcN5Y29ycA,ColaSoftDrink
Colloids,Mx4rwByX95wpEbGdrcN5Y29ycA,Colloid
Comoros,Mx4rvViEXpwpEbGdrcN5Y29ycA,Comoros-TheNation
Anthologies,Mx4rEgQxOvRgQdeVysqI1MgOjA,ConceptualWorkSeries-Periodic
Condoms,Mx4rwP1mBpwpEbGdrcN5Y29ycA,Condom
Conifers,Mx4rvVihh5wpEbGdrcN5Y29ycA,Conifer
Contortionists,Mx4rvt6ofZwpEbGdrcN5Y29ycA,Contortionist
Corps,Mx4rkuMrLG3OEdaAAACgye-oRQ,Corps-MilitaryEchelon
Corpora,Mx4rgRNvhqpIEdaAAABQ2sS97g,Corpus
Corticosteroids,Mx4rwQr9PZwpEbGdrcN5Y29ycA,Corticosteroid
Sedans,Mx4rwBQbsJwpEbGdrcN5Y29ycA,CountrySedanCar
Crayfish,Mx4rvViySpwpEbGdrcN5Y29ycA,Crayfish
Rowers,Mx4rwPzhAJwpEbGdrcN5Y29ycA,CrewTeam
Crickets,Mx4rvVkApZwpEbGdrcN5Y29ycA,Cricket-Insect
Crips,Mx4rv60405wpEbGdrcN5Y29ycA,CriminalOrganization
Crossbows,Mx4rvVjCKpwpEbGdrcN5Y29ycA,Crossbow
Crows,Mx4rvViHS5wpEbGdrcN5Y29ycA,Crow
Crowns,Mx4rvW19gpwpEbGdrcN5Y29ycA,Crown
Cuckoos,Mx4rwP1k0pwpEbGdrcN5Y29ycA,Cuckoo
Oncorhynchus,Mx4rwEJV1ZwpEbGdrcN5Y29ycA,CutthroatTrout
Cycads,Mx4rvVigPZwpEbGdrcN5Y29ycA,Cycad
Cymbals,Mx4rwPR1A5wpEbGdrcN5Y29ycA,Cymbal
Cytokines,Mx4rwBQVa5wpEbGdrcN5Y29ycA,Cytokine
Daggers,Mx4rwQCclpwpEbGdrcN5Y29ycA,Dagger
Darts,Mx4rwKx-JZwpEbGdrcN5Y29ycA,DartsGame
Debuggers,Mx4rvipchZwpEbGdrcN5Y29ycA,DebuggerProgram
Deer,Mx4rvVi-jpwpEbGdrcN5Y29ycA,Deer
Desks,Mx4rvVjfVpwpEbGdrcN5Y29ycA,Desk-PieceOfFurniture
Detonators,Mx4rvmYrGpwpEbGdrcN5Y29ycA,Detonator
Diapers,Mx4rvVjI0JwpEbGdrcN5Y29ycA,Diaper
Diatoms,Mx4rvVilW5wpEbGdrcN5Y29ycA,Diatom
Camcorders,Mx4rvXmVQJwpEbGdrcN5Y29ycA,DigitalCamcorder
Dinghies,Mx4rvgD62ZwpEbGdrcN5Y29ycA,Dinghy
Directories,Mx4rwVIiy5wpEbGdrcN5Y29ycA,Directory-ReferenceWork
Disinfectants,Mx4rwOtWKZwpEbGdrcN5Y29ycA,DisinfectantSubstance
Osteopaths,Mx4rvWVwiJwpEbGdrcN5Y29ycA,Doctor-Osteopathic
Doughnuts,Mx4rwQCLXpwpEbGdrcN5Y29ycA,Doughnut
Druze,Mx8Ngh4rwBtg95wpEbGdrcN5Y29ycB4rvVi2EZwpEbGdrcN5Y29ycA,"[:BelieverFn, :DruzeReligion]"
Dumplings,Mx4rt-aDFCwFQdiTFrW9baKjJg,Dumpling
Eagles,Mx4rvViGopwpEbGdrcN5Y29ycA,Eagle
Ecosystems,Mx4rv_UD6pwpEbGdrcN5Y29ycA,Ecosystem
Eggplants,Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rvptjppwpEbGdrcN5Y29ycA,"[:FruitFn, :EggplantPlant]"
Emoticons,Mx4rvaDNm5wpEbGdrcN5Y29ycA,Emoticon
Dromaius,Mx4rwBpLoJwpEbGdrcN5Y29ycA,Emu
Performances,Mx4rvVjAJ5wpEbGdrcN5Y29ycA,EntertainmentPerformance
Envelopes,Mx4rvVjqo5wpEbGdrcN5Y29ycA,Envelope
Epics,Mx4rulqH1MkrEdmAAAACs6hRjg,EpicPoem-CW
Bodo,Mx4rkXSy3l9CQdmAdO8LzPho8w,EthnicGroupOfBodo
Dravidians,Mx4rvVjAqZwpEbGdrcN5Y29ycA,EthnicGroupOfDravidians
Hmong,Mx4rvVivApwpEbGdrcN5Y29ycA,EthnicGroupOfHmong
Kalenjin,Mx4rvjVMc5wpEbGdrcN5Y29ycA,EthnicGroupOfKalenjin
Ethologists,Mx4rvVkATJwpEbGdrcN5Y29ycA,Ethologist
Chromosomes,Mx4rv5eB6ZwpEbGdrcN5Y29ycA,EukaryoticChromosome
Eukaryotes,Mx4rv8gyOpwpEbGdrcN5Y29ycA,EukaryoticOrganism
Expectorants,Mx4rwP1Z8pwpEbGdrcN5Y29ycA,Expectorant
Fabulists,Mx4rpwDlNssdEdmAAAACs6hRjg,Fabulist-Storyteller
Falcons,Mx4rvVjqbJwpEbGdrcN5Y29ycA,Falcon
Caracaras,Mx4rvpetSpwpEbGdrcN5Y29ycA,FalconiformOrder
Falconiformes,Mx4rvpetSpwpEbGdrcN5Y29ycA,FalconiformOrder
Potamilus,Mx4rvrea-JwpEbGdrcN5Y29ycA,FatPocketbook
Feathers,Mx4rvVjW-5wpEbGdrcN5Y29ycA,Feather
Fences,Mx4rvgEVapwpEbGdrcN5Y29ycA,Fence
Bosons,Mx4rz2kVBlIRQdifdK9z29Vw5g,FermionicCondensate-StateOfMatter
Fermions,Mx4rz2kVBlIRQdifdK9z29Vw5g,FermionicCondensate-StateOfMatter
Coatings,Mx4rvVigx5wpEbGdrcN5Y29ycA,Film-SheetOrCoating
Finches,Mx4rvWI6MZwpEbGdrcN5Y29ycA,Finch
Fingers,Mx4rvVi_f5wpEbGdrcN5Y29ycA,Finger
Fireplaces,Mx4rvVj2PZwpEbGdrcN5Y29ycA,Fireplace
Fish,Mx4rvVjfU5wpEbGdrcN5Y29ycA,Fish
Flagellates,Mx4rvVikWJwpEbGdrcN5Y29ycA,Flagellate
Flamingos,Mx4rvViOOJwpEbGdrcN5Y29ycA,Flamingo
Fleas,Mx4rvVi775wpEbGdrcN5Y29ycA,Flea
Floors,Mx4rvVj4k5wpEbGdrcN5Y29ycA,FloorInAConstruction
Flies,Mx4rvVjaGZwpEbGdrcN5Y29ycA,Fly-Insect
Glades,Mx4r-lACFHS7EdaAAACgyZzFrg,ForestClearing
Fur,Mx4rvViB75wpEbGdrcN5Y29ycA,Fur
Gears,Mx4rvVkBhZwpEbGdrcN5Y29ycA,Gear
Geisha,Mx4rv0o0C5wpEbGdrcN5Y29ycA,Geisha
Gels,Mx4rkG3gMV5VEdeHZQACs6hcsw,Gel
Gerbils,Mx4rvVi_hZwpEbGdrcN5Y29ycA,Gerbil
Gestures,Mx4rvVkMBZwpEbGdrcN5Y29ycA,Gesture
Thamnophis,Mx4rvpYcf5wpEbGdrcN5Y29ycA,GiantGarterSnake
Gibbons,Mx4rvViqIZwpEbGdrcN5Y29ycA,Gibbon
Sterna,Mx4rvW3iAZwpEbGdrcN5Y29ycA,Gladiolus
Gliders,Mx4rvYBA7pwpEbGdrcN5Y29ycA,Glider
Gloves,Mx4rvViztpwpEbGdrcN5Y29ycA,Glove
Glucocorticoids,Mx4rwBBZtJwpEbGdrcN5Y29ycA,Glucocorticoid
Glyphs,Mx4r-AzHGpXOEdaAAAACs1uxFw,Glyph
Carduelis,Mx4rvVk-oZwpEbGdrcN5Y29ycA,Goldfinch
Goldfish,Mx4rwP1bWJwpEbGdrcN5Y29ycA,Goldfish
Gowns,Mx4rwPRr4ZwpEbGdrcN5Y29ycA,Gown
Grains,Mx4rvViBppwpEbGdrcN5Y29ycA,GrainOfCereal
Grapefruit,Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rvVyngpwpEbGdrcN5Y29ycA,"[:FruitFn, :GrapefruitTree]"
Grasshoppers,Mx4rvVikCZwpEbGdrcN5Y29ycA,Grasshopper
Greece,Mx4rvVi8BJwpEbGdrcN5Y29ycA,Greece
Greenhouses,Mx4rvVicgpwpEbGdrcN5Y29ycA,Greenhouse
Grocers,Mx4rCy3mPCeFQdiLa4hejyKH4Q,Grocer
Muskets,Mx4rwEHeqJwpEbGdrcN5Y29ycA,Gun-MuzzleLoading
Gymnasiums,Mx4r4H5PtsBwEdaAAAACs6Mw3A,Gymnasium-Facility
Gymnosperms,Mx4rvViCz5wpEbGdrcN5Y29ycA,GymnospermGroup
Gyroscopes,Mx4rwSXw2pwpEbGdrcN5Y29ycA,Gyroscope
Hadith,Mx4rAFLtdE69QdmN37JVO5jqrA,Hadith
Halogens,Mx4rjnYvQCYfEdaGOQACs0uFOQ,HalogenElementType
Hammers,Mx4rvVjSApwpEbGdrcN5Y29ycA,Hammer
Harpoons,Mx4rv7T3DJwpEbGdrcN5Y29ycA,Harpoon-FishingDevice
Hats,Mx4rvVilJZwpEbGdrcN5Y29ycA,Hat
Headaches,Mx4rwP1rlJwpEbGdrcN5Y29ycA,Headache
Headlines,Mx4rZK0ZThxjQdiUds6PuQMOhw,Headline
Headmasters,Mx4rYENoOitfQdiLIs6rh9ys-g,Headmaster
Exocarpos,Mx4rvgzQ85wpEbGdrcN5Y29ycA,Heau
Helices,Mx4rwRDEk5wpEbGdrcN5Y29ycA,Helix
Hematologists,Mx4rwQrlzJwpEbGdrcN5Y29ycA,Hematologist
Hernias,Mx4rvXxMSpwpEbGdrcN5Y29ycA,Hernia
Herons,Mx4rvVy5KZwpEbGdrcN5Y29ycA,Heron
Hides,Mx4rwDNtapwpEbGdrcN5Y29ycA,Hide-Product
Hijackers,Mx4rwOCCjJwpEbGdrcN5Y29ycA,Hijacker
Hikers,Mx4rvWMTp5wpEbGdrcN5Y29ycA,Hiker
Historiographers,Mx4rzefuqhraQdiadPWaPbbhRw,Historian
Hobbyists,Mx4rv5EL45wpEbGdrcN5Y29ycA,Hobbyist
Holsters,Mx4rwQBZqJwpEbGdrcN5Y29ycA,Holster
Aesculus,Mx4rvViuxZwpEbGdrcN5Y29ycA,HorseChestnutTree
Hounds,Mx4rv3NWi5wpEbGdrcN5Y29ycA,Hound
Linens,Mx4rwP1kM5wpEbGdrcN5Y29ycA,HouseholdLinensMarketCategory
Hovercraft,Mx4rvtyDlZwpEbGdrcN5Y29ycA,Hovercraft
Humanities,Mx4rwGWamJwpEbGdrcN5Y29ycA,Humanities-FieldOfStudy
Hummingbirds,Mx4rwQrmoZwpEbGdrcN5Y29ycA,Hummingbird
Chub,Mx4rvzgw85wpEbGdrcN5Y29ycA,HumpbackChub
Icebergs,Mx4rwPu5l5wpEbGdrcN5Y29ycA,Iceberg
Illinois,Mx4rvVitlJwpEbGdrcN5Y29ycA,Illinois-State
Immunosuppressants,Mx4rvwzOP5wpEbGdrcN5Y29ycA,Immunosuppressive
Implants,Mx4rwGwObpwpEbGdrcN5Y29ycA,Implant-Medical
Sultanates,Mx4rN1Ovqm2oEdaAAACgyZzFrg,IndependentSultanate
Inhalants,Mx4rvVi9xZwpEbGdrcN5Y29ycA,InhalantDrug
Newsgroups,Mx4rwRZ4-pwpEbGdrcN5Y29ycA,InternetNewsgroup
Internists,Mx4rvViK45wpEbGdrcN5Y29ycA,Internist
Inuit,Mx4rwFSyDZwpEbGdrcN5Y29ycA,InuitLanguageFamily
Jackets,Mx4rvViWxZwpEbGdrcN5Y29ycA,Jacket
Javelins,Mx4rvVjFv5wpEbGdrcN5Y29ycA,Javelin
